Parasite.treatment,Compound.name,Concentration,Rep,Number,End_time,Dead
Parasite,Carvacrol,Low,3,12,11,0
Parasite,Carvacrol,Low,3,13,11,0
Parasite,Carvacrol,Low,3,14,11,0
Parasite,Carvacrol,Low,4,1,8,1
Parasite,Carvacrol,Low,4,2,8,1
Parasite,Carvacrol,Low,4,3,8,1
Parasite,Carvacrol,Low,4,4,8,1
Parasite,Carvacrol,Low,4,5,8,1
Parasite,Carvacrol,Low,4,6,8,1
Parasite,Carvacrol,Low,4,7,8,1
Parasite,Carvacrol,Low,4,8,14,1
Parasite,Carvacrol,Low,4,9,11,0
Parasite,Carvacrol,Low,4,10,11,0
Parasite,Carvacrol,Low,4,11,11,0
Parasite,Carvacrol,Low,4,12,11,0
Parasite,Carvacrol,Low,4,13,11,0
Parasite,Carvacrol,Low,4,14,11,0
Parasite,Carvacrol,Low,5,1,1,1
Parasite,Carvacrol,Low,5,2,5,1
Parasite,Carvacrol,Low,5,3,8,1
Parasite,Carvacrol,Low,5,4,8,1
Parasite,Carvacrol,Low,5,5,8,1
Parasite,Carvacrol,Low,5,6,8,1
Parasite,Carvacrol,Low,5,7,8,1
Parasite,Carvacrol,Low,5,8,8,1
Parasite,Carvacrol,Low,5,9,8,1
Parasite,Carvacrol,Low,5,10,10,1
Parasite,Carvacrol,Low,5,11,12,1
Parasite,Carvacrol,Low,5,12,15,1
Parasite,Carvacrol,Low,5,13,11,0
Parasite,Carvacrol,Low,5,14,11,0
Parasite,Carvacrol,Low,6,1,8,1
Parasite,Carvacrol,Low,6,2,8,1
Parasite,Carvacrol,Low,6,3,8,1
Parasite,Carvacrol,Low,6,4,8,1
Parasite,Carvacrol,Low,6,5,8,1
Parasite,Carvacrol,Low,6,6,8,1
Parasite,Carvacrol,Low,6,7,8,1
Parasite,Carvacrol,Low,6,8,12,1
Parasite,Carvacrol,Low,6,9,14,1
Parasite,Carvacrol,Low,6,10,11,0
Parasite,Carvacrol,Low,6,11,11,0
Parasite,Carvacrol,Low,6,12,11,0
Parasite,Carvacrol,Low,6,13,11,0
Parasite,Carvacrol,Low,6,14,11,0
Parasite,Eugenol,High,1,1,6,1
Parasite,Eugenol,High,1,2,6,1
Parasite,Eugenol,High,1,3,7,1
Parasite,Eugenol,High,1,4,8,1
Parasite,Eugenol,High,1,5,8,1
Parasite,Eugenol,High,1,6,8,1
Parasite,Eugenol,High,1,7,8,1
Parasite,Eugenol,High,1,8,8,1
