Parasite.treatment,Compound.name,Concentration,Rep,Day,M0,Mf,N.mean,Dm.norm
Parasite,Thymol,Low,6,6,5.74,5.49,11,0.018863636363636346
Parasite,None,0,1,1,6.75,6.42,14,0.019464285714285712
Parasite,None,0,1,2,6.42,6.05,14,0.023214285714285743
Parasite,None,0,1,3,6.05,5.66,14,0.025714285714285672
Parasite,None,0,1,4,5.66,5.25,14,0.027678571428571424
Parasite,None,0,1,5,5.25,4.91,13.5,0.02370370370370371
Parasite,None,0,1,6,4.91,4.61,13,0.01980769230769228
Parasite,None,0,1,9,7.02,6.85,6,0.022083333333333306
Parasite,None,0,1,10,6.85,6.66,6,0.025833333333333226
Parasite,None,0,1,11,6.66,6.52,6,0.018750000000000117
Parasite,None,0,1,12,6.52,6.33,6,0.02749999999999993
Parasite,None,0,1,13,6.33,6.13,6,0.029166666666666712
Parasite,None,0,2,1,6.95,6.7,14,0.013749999999999993
Parasite,None,0,2,2,6.7,6.42,14,0.016785714285714324
Parasite,None,0,2,3,6.42,6.01,13.5,0.02814814814814814
Parasite,None,0,2,4,6.01,5.53,13,0.03519230769230764
Parasite,None,0,2,5,5.53,5.09,13,0.03230769230769236
Parasite,None,0,2,6,5.09,4.79,12.5,0.02059999999999997
Parasite,None,0,3,1,6.82,6.36,13.5,0.029814814814814804
Parasite,None,0,3,2,6.36,6.15,13,0.012692307692307713
Parasite,None,0,3,3,6.15,5.9,13,0.016923076923076905
Parasite,None,0,3,4,5.9,5.61,13,0.020576923076923066
Parasite,None,0,3,5,5.61,5.41,13,0.013846153846153876
Parasite,None,0,3,6,5.41,4.99,12.5,0.030199999999999977
Parasite,None,0,3,9,6.8,6.64,5,0.02450000000000001
Parasite,None,0,3,10,6.64,6.41,5,0.03899999999999988
Parasite,None,0,3,11,6.41,6.19,5,0.03849999999999998
Parasite,None,0,3,12,6.19,6.02,5,0.029000000000000182
Parasite,None,0,3,13,6.02,5.983,5,0.002400000000000002
Parasite,None,0,4,1,6.84,6.51,14,0.019464285714285712
Parasite,None,0,4,2,6.51,6.13,13.5,0.024814814814814828
Parasite,None,0,4,3,6.13,5.7,13,0.03076923076923073
Parasite,None,0,4,4,5.7,5.52,13,0.012115384615384648
Parasite,None,0,4,5,5.52,5.13,13,0.02846153846153845
Parasite,None,0,4,6,5.13,4.81,13,0.02134615384615385
Parasite,None,0,4,9,6.78,6.64,5.5,0.018636363636363725
Parasite,None,0,4,10,6.64,6.48,5,0.02499999999999982
Parasite,None,0,4,11,6.48,6.42,5,0.006500000000000128
Parasite,None,0,4,12,6.42,6.29,5,0.020999999999999998
Parasite,None,0,4,13,6.29,6.2,5,0.012999999999999989
Parasite,None,0,5,1,6.77,6.35,13,0.027884615384615372
Parasite,None,0,5,2,6.35,6.02,13,0.02192307692307695
Parasite,None,0,5,3,6.02,5.71,12.5,0.022399999999999948
Parasite,None,0,5,4,5.71,5.46,12,0.018958333333333317
Parasite,None,0,5,5,5.46,4.88,12,0.04666666666666669
Parasite,None,0,5,6,4.88,4.6,12,0.01979166666666667
Parasite,None,0,5,9,6.8,6.69,5,0.014499999999999869
Parasite,None,0,6,1,6.85,6.59,14,0.014464285714285692
Parasite,None,0,6,2,6.59,6.26,14,0.020357142857142883
Parasite,None,0,6,3,6.26,5.91,14,0.022857142857142815
Parasite,None,0,6,4,5.91,5.63,14,0.01839285714285715
Parasite,None,0,6,5,5.63,5.34,13.5,0.020000000000000018
Parasite,None,0,6,6,5.34,5.02,13,0.02134615384615385
Parasite,None,0,6,9,6.87,6.65,6,0.03041666666666661
Parasite,None,0,6,10,6.65,6.48,6,0.022499999999999964
Parasite,None,0,6,11,6.48,6.34,6,0.018750000000000117
Parasite,None,0,6,12,6.34,6.15,5,0.03299999999999992
Sham,None,0,1,1,6.69,6.22,14,0.029464285714285752
Sham,None,0,1,2,6.22,5.99,13,0.014230769230769217
Sham,None,0,1,3,5.99,5.67,12,0.02416666666666667
Sham,None,0,1,4,5.67,5.4,12,0.02062499999999995
Sham,None,0,1,5,5.4,4.96,12,0.03500000000000005
Sham,None,0,1,6,4.96,4.61,12,0.025624999999999953
Sham,None,0,2,1,6.91,6.51,14,0.024464285714285734
Sham,None,0,2,2,6.51,6.3,14,0.011785714285714304
Sham,None,0,2,3,6.3,6.01,14,0.018571428571428555
Sham,None,0,2,4,6.01,5.54,14,0.03196428571428568
Sham,None,0,2,5,5.54,5.12,14,0.02857142857142858
Sham,None,0,2,6,5.12,4.82,14,0.018392857142857117
Sham,None,0,2,9,6.62,6.35,7,0.033214285714285766
Sham,None,0,2,10,6.35,6.14,7,0.024999999999999974
Sham,None,0,2,11,6.14,5.9,7,0.03035714285714278
Sham,None,0,2,12,5.9,5.64,7,0.03357142857142868
Sham,None,0,2,13,5.64,5.42,6.5,0.029999999999999975
Sham,None,0,3,1,7.25,6.89,14,0.021607142857142873
Sham,None,0,3,2,6.89,6.56,13.5,0.02111111111111114
Sham,None,0,3,3,6.56,6.29,13,0.01846153846153841
Sham,None,0,3,4,6.29,5.77,13,0.03826923076923079
Sham,None,0,3,5,5.77,5.36,13,0.029999999999999957
Sham,None,0,3,6,5.36,5.07,12.5,0.019799999999999988
Sham,None,0,3,9,6.93,6.52,5,0.07450000000000001
Sham,None,0,4,1,7.01,6.66,14,0.02089285714285711
Sham,None,0,4,2,6.66,6.24,14,0.0267857142857143
Sham,None,0,4,3,6.24,6.04,14,0.012142857142857138
Sham,None,0,4,4,6.04,5.65,14,0.026249999999999964
Sham,None,0,4,5,5.65,5.23,14,0.02857142857142858
Sham,None,0,4,6,5.23,4.85,14,0.0241071428571429
Sham,None,0,4,9,6.85,6.61,6,0.03374999999999987
Sham,None,0,4,10,6.61,6.34,6,0.03916666666666672
Sham,None,0,4,11,6.34,6.18,6,0.022083333333333382
Sham,None,0,4,12,6.18,5.98,6,0.029166666666666563
Sham,None,0,4,13,5.98,5.86,6,0.015833333333333366
Sham,None,0,5,1,6.87,6.47,13.5,0.02537037037037039
Sham,None,0,5,2,6.47,6.15,13,0.02115384615384613
Sham,None,0,5,3,6.15,5.83,13,0.02230769230769231
Sham,None,0,5,4,5.83,5.51,13,0.022884615384615392
Sham,None,0,5,5,5.51,5.17,13,0.02461538461538462
Sham,None,0,5,6,5.17,4.88,13,0.019038461538461525
Sham,None,0,5,9,6.88,6.66,6,0.03041666666666661
Sham,None,0,5,10,6.66,6.52,6,0.01750000000000007
Sham,None,0,5,11,6.52,6.37,5.5,0.0222727272727272
Sham,None,0,5,12,6.37,6.18,5,0.0330000000000001
Sham,None,0,6,1,6.63,6.34,11,0.02113636363636363
Sham,None,0,6,2,6.34,6.1,11,0.017727272727272772
Sham,None,0,6,3,6.1,5.82,11,0.022727272727272648
Sham,None,0,6,4,5.82,5.52,11,0.025227272727272775
Sham,None,0,6,5,5.52,5.35,11,0.013636363636363648
Sham,None,0,6,6,5.35,5.15,11,0.014318181818181735
